data,algorithm,time,nmi,ari,nf1,#com
strike,CMS0.1,0.4315791130065918,0.6335923950184362,0.5706149140386035,0.48222222222222216,2
strike,CMS0.2,0.6388707160949707,0.6335923950184362,0.5706149140386035,0.48222222222222216,2
strike,orc_cd,4.7081077098846436,0.7184755058450968,0.5518025332900293,0.4266666666666667,6
strike,nm_cd,0.0014641284942626953,0.686424518172825,0.47934868943606035,0.35714285714285715,7
strike,label_cd,0.0011904239654541016,0.7184755058450968,0.5518025332900293,0.4266666666666667,6
strike,louvain_cd,0.00113677978515625,0.7184755058450968,0.5518025332900293,0.4266666666666667,6
karate,CMS0.1,0.5129349231719971,1.0,1.0,1.0,2
karate,CMS0.2,0.5597288608551025,0.8371694628777816,0.8822575413558222,0.97,2
karate,orc_cd,12.30699110031128,0.5392646419012306,0.38482080656397555,0.292,5
karate,nm_cd,0.0026273727416992188,0.5177639133347919,0.3515623486565545,0.23500000000000001,6
karate,label_cd,0.0017368793487548828,0.5159356078945182,0.3627386438446346,0.24333333333333332,6
karate,louvain_cd,0.0020225048065185547,0.5392646419012307,0.38482080656397555,0.292,5
mexican,CMS0.1,0.46315479278564453,0.22206536235960103,0.19861781168236164,0.4666666666666666,3
mexican,CMS0.2,0.6335353851318359,0.22206536235960103,0.19861781168236164,0.4666666666666666,3
mexican,orc_cd,15.561574697494507,0.21398848681674204,0.16853722409277966,0.35,4
mexican,nm_cd,0.007136821746826172,0.20856927299809058,0.14212018047355118,0.27199999999999996,5
mexican,label_cd,0.0021181106567382812,0.21398848681674204,0.16853722409277966,0.35,4
mexican,louvain_cd,0.0022089481353759766,0.21398848681674204,0.16853722409277966,0.35,4
dolphin,CMS0.1,0.5338766574859619,0.446798724353353,0.3002482260883188,0.5,3
dolphin,CMS0.2,0.6703689098358154,0.733385305714162,0.5668349183848913,0.5833333333333333,3
dolphin,orc_cd,22.306992530822754,0.45379959058425223,0.20728833894679022,0.10181818181818184,11
dolphin,nm_cd,0.0063092708587646484,0.4444803158156293,0.19573605945080694,0.09083333333333332,12
dolphin,label_cd,0.0032548904418945312,0.4439321121319384,0.20017537525145715,0.09333333333333334,12
dolphin,louvain_cd,0.0035429000854492188,0.45379959058425223,0.20728833894679022,0.10181818181818184,11
football,CMS0.1,0.9280357360839844,0.8366893631520833,0.6076300642552098,0.47388888888888886,8
football,CMS0.2,1.115924596786499,0.8286062126496742,0.4959506692621968,0.46722222222222215,8
football,orc_cd,63.88390278816223,0.9268793639543628,0.8893431553253587,0.6916132478632478,12
football,nm_cd,0.0210111141204834,0.9289431755468918,0.9004380989448603,0.680625,13
football,label_cd,0.0030465126037597656,0.9268793639543628,0.8893431553253587,0.6916132478632478,12
football,louvain_cd,0.005190372467041016,0.9268793639543628,0.8893431553253587,0.6916132478632478,12
polbooks,CMS0.1,0.8748409748077393,0.4857487205479854,0.5054371785775472,0.426,5
polbooks,CMS0.2,0.8067367076873779,0.4857487205479854,0.5054371785775472,0.426,5
polbooks,orc_cd,56.696733713150024,0.41258855238171,0.3122902359109088,0.14666666666666664,12
polbooks,nm_cd,0.0214998722076416,0.40761750956144854,0.30017143628065535,0.13384615384615384,13
polbooks,label_cd,0.004206657409667969,0.41258855238171,0.3122902359109088,0.14666666666666664,12
polbooks,louvain_cd,0.005318641662597656,0.41258855238171,0.3122902359109088,0.14666666666666664,12
polblogs,CMS0.1,508.9732894897461,0.0034050122147991388,0.00027211628571896594,0.16625,2
polblogs,CMS0.2,507.93650913238525,0.0034050122147991388,0.00027211628571896594,0.16625,2
polblogs,orc_cd,5114.251178979874,0.27824958182337106,0.25820868233398947,0.00641509433962264,212
polblogs,nm_cd,1.94771146774292,0.27911425750696256,0.25903709276785447,0.006431924882629109,213
polblogs,label_cd,0.032395362854003906,0.27824958182337106,0.25820868233398947,0.00641509433962264,212
polblogs,louvain_cd,0.10664963722229004,0.27824958182337106,0.25820868233398947,0.00641509433962264,212
